"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상
"죄종별(1)",죄종별(2),소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계
"폭력범죄",공갈,3552,1053,172,254,238,221,168,2487,110,100,282,197,223,240,262,295,302,235,130,64,47,12,3434,928,165,211,211,198,143,2477,118,88,277,264,247,296,233,250,250,205,151,57,41,29,2775,740,126,193,177,135,109,2033,91,63,289,229,174,184,192,177,202,186,141,60,45,2,2754,809,177,215,180,140,97,1940,72,75,286,221,186,192,168,196,176,163,118,54,33,5
"폭력범죄",손괴,38438,1114,136,165,219,216,378,37269,466,407,2631,2774,2867,3914,3972,5046,4909,4427,2649,1353,1854,55,38716,1070,175,197,190,203,305,37603,441,426,2726,2944,2717,3777,3820,4834,4864,4434,3118,1548,1954,43,35844,1123,169,215,218,211,310,34675,418,374,2545,2814,2424,3120,3464,4282,4448,4018,3118,1578,2072,46,36859,1326,256,235,234,251,350,35510,383,366,2629,3207,2643,3319,3766,4152,4432,3908,2970,1752,1983,23
"지능범죄",소계,308782,10652,751,1328,2238,2866,3469,297069,4413,4579,23966,22224,21580,29696,31959,41540,39780,37747,22351,9542,7692,1061,307706,11732,891,1653,2299,3148,3741,294065,5384,5956,26955,24837,20515,27776,29011,37759,38722,35583,23315,9972,8280,1909,210381,8458,806,1344,1841,2029,2438,201228,3698,4446,22123,19015,14417,17456,18341,23197,24686,22834,16708,7817,6490,695,219700,9011,1285,1724,1938,1901,2163,209968,3306,3939,22782,21099,16159,17950,20061,22494,25288,22606,17868,9304,7112,721
"지능범죄",직무유기,788,-,-,-,-,-,-,680,7,1,8,51,54,86,106,117,134,95,13,1,7,108,947,-,-,-,-,-,-,791,-,1,4,66,73,112,97,119,151,133,24,6,5,156,810,-,-,-,-,-,-,702,-,-,17,55,59,90,89,87,143,125,22,10,5,108,834,-,-,-,-,-,-,729,-,-,10,67,105,75,89,102,142,107,20,9,3,105
"지능범죄",직권남용,974,-,-,-,-,-,-,909,-,-,7,79,71,116,85,149,166,171,49,8,8,65,1021,-,-,-,-,-,-,881,-,-,14,82,92,87,102,170,151,125,40,14,4,140,857,-,-,-,-,-,-,714,-,-,8,74,73,76,87,102,145,102,30,6,11,143,1020,1,-,-,1,-,-,844,-,-,10,76,94,84,96,131,164,135,34,11,9,175
"지능범죄",증수뢰,942,-,-,-,-,-,-,940,-,-,3,15,21,89,128,171,203,175,76,37,22,2,807,-,-,-,-,-,-,796,-,1,4,3,9,57,116,152,159,169,77,33,16,11,651,-,-,-,-,-,-,650,-,-,2,3,10,37,81,113,160,120,73,29,22,1,703,-,-,-,-,-,-,703,-,-,2,11,9,35,67,105,150,147,97,50,30,-
"지능범죄",통화,143,21,-,1,6,9,5,122,7,2,10,8,3,7,3,7,57,7,4,3,4,-,86,5,-,1,1,2,1,80,1,-,7,11,7,5,3,3,29,5,2,2,5,1,58,4,-,2,2,-,-,54,1,-,3,5,2,2,3,2,8,14,3,5,6,-,42,2,-,2,-,-,-,40,-,-,2,5,8,6,1,2,2,10,-,1,3,-
"지능범죄",문서·인장,16253,1307,20,118,186,473,510,14819,103,135,627,886,1004,1361,1558,1969,2041,2091,1396,774,874,127,15465,1264,30,113,227,443,451,14046,105,134,596,817,924,1240,1390,1802,2000,1972,1515,744,807,155,11441,656,33,77,151,230,165,10725,60,61,520,654,671,906,1050,1400,1528,1445,1145,672,613,60,11864,875,43,115,219,298,200,10927,55,70,569,667,679,914,1082,1318,1541,1425,1228,716,663,62
"지능범죄",유가증권인지,208,2,-,-,-,-,2,205,-,-,2,4,7,11,16,26,53,45,25,9,7,1,117,-,-,-,-,-,-,116,-,-,-,-,4,11,12,7,26,17,24,5,10,1,68,-,-,-,-,-,-,68,-,-,1,1,3,3,5,7,9,12,10,8,9,-,78,1,-,-,-,-,1,77,-,-,3,3,4,-,6,5,16,10,10,8,12,-
"지능범죄",사기,246160,8049,607,1019,1758,2039,2626,237523,4021,4165,21675,19236,17926,24068,25651,33168,31349,29090,16578,6401,4195,588,245009,9161,708,1328,1795,2337,2993,234678,5004,5583,24619,21686,17059,22426,22938,29735,30164,27333,16960,6685,4486,1170,162836,6816,646,1101,1442,1569,2058,155751,3443,4197,20261,16561,11770,13629,13908,17398,18286,16685,11698,4886,3029,269,169528,6744,953,1314,1394,1318,1765,162466,3038,3682,20693,18403,13275,14251,15295,16988,18731,16411,12521,5941,3237,318
"지능범죄",횡령,35163,1272,124,190,288,345,325,33819,271,267,1579,1753,2202,3387,3570,4574,4436,4657,3189,1847,2087,72,35930,1299,153,211,275,364,296,34449,270,236,1626,1990,2037,3179,3525,4454,4646,4461,3662,1954,2409,182,27970,981,127,164,246,229,215,26904,191,184,1266,1512,1623,2320,2514,3250,3509,3445,2943,1749,2398,85,30006,1388,289,293,324,285,197,28578,209,185,1435,1747,1771,2255,2901,3100,3644,3418,3145,2090,2678,40
"지능범죄",배임,8151,1,-,-,-,-,1,8052,4,9,55,192,292,571,842,1359,1341,1416,1021,462,488,98,8324,3,-,-,1,2,-,8228,4,1,85,182,310,659,828,1317,1396,1368,1011,529,538,93,5690,1,-,-,-,1,-,5660,3,4,45,150,206,393,604,838,898,886,784,452,397,29,5625,-,-,-,-,-,-,5604,4,2,58,120,214,330,524,743,898,943,813,478,477,21
"풍속범죄",소계,33779,1644,235,279,327,370,433,32093,389,335,2899,3409,2990,3256,2642,3074,3557,4199,2950,1432,961,42,34671,2253,334,413,516,501,489,32397,591,469,3501,3887,2910,3208,2532,2823,3299,3983,2873,1401,920,21,29030,2666,442,491,534,637,562,26348,489,449,3303,3491,2476,2270,1926,2099,2521,2969,2332,1174,849,16,30991,3872,539,771,880,847,835,27114,725,603,4409,4184,2695,2234,2016,1793,1987,2279,2219,1192,778,5
"풍속범죄",성풍속범죄,12473,1572,234,274,319,357,388,10871,316,254,1908,1937,1470,1353,1000,890,582,485,322,162,192,30,13546,2162,330,410,500,480,442,11370,459,357,2241,2179,1416,1271,899,781,588,518,296,172,193,14,14549,2603,435,483,525,619,541,11935,441,373,2574,2370,1584,1193,842,746,639,450,306,180,237,11,19351,3798,532,764,863,822,817,15550,697,556,3918,3406,2006,1310,1034,782,600,448,355,193,245,3
"풍속범죄",도박범죄,21306,72,1,5,8,13,45,21222,73,81,991,1472,1520,1903,1642,2184,2975,3714,2628,1270,769,12,21125,91,4,3,16,21,47,21027,132,112,1260,1708,1494,1937,1633,2042,2711,3465,2577,1229,727,7,14481,63,7,8,9,18,21,14413,48,76,729,1121,892,1077,1084,1353,1882,2519,2026,994,612,5,11640,74,7,7,17,25,18,11564,28,47,491,778,689,924,982,1011,1387,1831,1864,999,533,2
"특별경제범죄",소계,79175,730,25,68,111,171,355,78118,718,664,4414,5718,6339,8937,9344,11516,10748,9876,5674,2394,1776,327,67904,555,56,44,94,138,223,66976,508,587,3756,4999,5290,7079,7525,9453,9483,8529,5599,2372,1796,373,46846,388,61,59,64,72,132,46316,300,390,2688,3479,3678,4831,4955,6035,6388,5829,4142,2053,1548,142,50673,371,69,64,63,80,95,50177,302,423,2817,4120,3949,5283,5729,6440,6749,6130,4482,2088,1665,125
"마약범죄",소계,9875,71,3,3,6,17,42,9799,91,119,936,1304,1227,1192,987,1136,888,629,371,258,661,5,11630,132,2,7,24,33,66,11496,108,129,1311,1700,1420,1294,1124,1124,824,675,482,347,958,2,10173,180,5,4,22,61,88,9992,125,179,1439,1800,1258,1085,859,833,691,500,351,246,626,1,11948,199,24,26,35,42,72,11746,91,190,1710,2208,1473,1270,920,765,681,616,463,382,977,3
"보건범죄",소계,18024,25,-,4,2,4,15,17968,32,55,680,1391,1850,2159,2096,2413,2354,2308,1413,690,527,31,21810,54,5,7,10,9,23,21687,86,99,974,1823,2221,2571,2247,2815,2780,2721,1830,858,662,69,38943,239,8,16,38,66,111,38641,262,321,3311,4759,4294,5178,4595,4323,4063,3455,2285,1056,739,63,56720,348,17,23,30,49,229,56345,498,655,6172,8177,6604,6979,6476,5937,5316,4536,3017,1244,734,27
"환경범죄",소계,5088,5,2,-,2,-,1,5070,7,8,77,110,184,436,579,768,971,928,570,275,157,13,4329,1,-,-,-,1,-,4317,-,-,13,61,151,326,388,652,899,839,557,265,166,11,3853,2,-,-,-,-,2,3842,3,-,11,50,122,219,356,557,713,783,584,270,174,9,3689,7,-,4,-,-,3,3677,4,1,18,49,124,216,379,514,666,700,567,301,138,5
"교통범죄",소계,383717,7081,468,895,1597,1837,2284,376521,2785,2355,24290,37143,34613,39666,37243,44877,43187,44157,31654,17717,16834,115,356446,7779,546,1048,1845,1915,2425,348544,2757,2602,23389,34293,29992,35030,33044,40028,41499,41030,31199,17210,16471,123,311232,6684,482,1011,1563,1684,1944,304493,2370,2365,21240,30143,26045,29968,29488,34056,35771,34754,28002,15868,14423,55,240216,6611,695,1127,1632,1548,1609,233527,1708,1663,16064,25281,21506,23795,24739,25728,27436,24354,20203,11244,9806,78
"노동범죄",소계,865,1,-,1,-,-,-,857,1,1,24,47,78,100,129,131,130,126,53,23,14,7,613,-,-,-,-,-,-,608,-,2,8,42,52,85,75,82,105,82,45,25,5,5,670,2,-,-,1,-,1,668,2,-,15,71,62,75,69,100,96,88,48,27,15,-,617,3,-,-,-,1,2,614,5,4,30,53,65,55,84,76,69,89,49,28,7,-
"안보범죄",소계,545,-,-,-,-,-,-,541,7,15,188,130,60,55,19,24,11,22,5,1,4,4,678,7,-,-,1,4,2,666,7,15,173,193,93,80,41,25,12,11,12,2,2,5,739,-,-,-,-,-,-,727,1,6,106,179,144,93,59,36,32,36,20,6,9,12,682,-,-,-,-,-,-,680,4,2,76,172,132,108,81,39,28,15,10,8,5,2
"선거범죄",소계,1180,-,-,-,-,-,-,1178,-,-,1,1,11,15,29,81,170,318,310,146,96,2,1545,23,-,1,-,4,18,1507,18,9,67,43,37,63,88,198,273,321,217,110,63,15,312,2,1,-,1,-,-,303,4,7,3,8,7,10,25,41,56,57,46,19,20,7,3767,47,16,11,3,6,11,3684,15,8,69,109,93,157,234,402,624,743,699,339,192,36
"병역범죄",소계,11809,-,-,-,-,-,-,11809,89,96,4251,5922,995,240,27,46,72,44,23,3,1,-,3164,-,-,-,-,-,-,3163,50,76,1052,1554,293,90,17,6,9,9,6,-,1,1,1395,-,-,-,-,-,-,1393,44,66,600,494,108,53,6,6,6,6,3,-,1,2,3909,-,-,-,-,-,-,3907,38,77,1641,1649,343,91,25,12,16,10,5,-,-,2
"기타범죄",소계,256000,6591,592,809,1281,1783,2126,248394,2550,2390,15554,17864,18748,25841,27140,34211,33058,32245,20261,9552,8980,1015,244539,6962,650,1070,1484,1863,1895,236083,2473,2535,15549,18121,17560,24429,25128,30786,31246,29518,20058,9651,9029,1494,221198,6145,634,820,1371,1671,1649,214567,2021,2267,14730,17663,16412,21657,23803,27473,27350,25072,18387,9471,8261,486,233413,7020,814,1029,1492,1837,1848,225830,2090,2172,15370,19915,18371,22599,25740,27017,28390,24994,20121,10468,8583,563
