"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계
"범죄별(1)",범죄별(2),범죄별(3),계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계
"형법범",강력범죄(폭력),협박,854,596,258,640,445,195,17,2,1,1,2,2,-,13,12,1,35,29,6,-,162,775,608,167,607,478,129,16,3,2,1,1,1,-,12,12,-,33,25,8,-,119,789,611,178,539,422,117,26,3,3,-,6,6,-,17,13,4,42,34,8,-,182,915,705,210,676,513,163,35,10,9,1,5,5,-,20,18,2,44,39,5,-,160
"형법범",강력범죄(폭력),공갈,1750,1545,205,1626,1433,193,1,1,1,-,-,-,-,-,-,-,21,18,3,-,102,1604,1397,207,1491,1306,185,3,1,1,-,1,-,1,1,1,-,11,9,2,-,99,1141,1032,109,979,888,91,2,1,-,1,1,-,1,-,-,-,17,15,2,-,143,1305,1162,143,1181,1052,129,4,1,1,-,-,-,-,3,3,-,30,28,2,-,90
"형법범",강력범죄(폭력),약취와유인,20,10,10,16,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,23,16,7,19,13,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,6,2,4,2,2,3,-,-,-,2,2,-,1,1,-,-,-,-,-,1,20,19,1,14,14,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,5
"형법범",강력범죄(폭력),체포와감금,253,194,59,223,167,56,-,-,-,-,-,-,-,-,-,-,4,4,-,-,26,255,196,59,220,170,50,3,-,-,-,1,-,1,2,2,-,5,5,-,-,27,212,159,53,159,121,38,1,1,1,-,-,-,-,-,-,-,1,1,-,-,51,313,222,91,241,171,70,-,-,-,-,-,-,-,-,-,-,3,3,-,-,69
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),542,442,100,499,408,91,-,-,-,-,-,-,-,-,-,-,12,11,1,-,31,610,501,109,550,452,98,2,1,1,-,-,-,-,1,-,1,31,29,2,-,27,790,651,139,671,560,111,-,-,-,-,-,-,-,-,-,-,35,26,9,-,84,888,742,146,807,673,134,-,-,-,-,-,-,-,-,-,-,31,27,4,-,50
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동),69,53,16,65,50,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,31,25,6,31,25,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,80,4,77,74,3,-,-,-,-,-,-,-,-,-,-,2,2,-,-,5,60,54,6,55,49,6,-,-,-,-,-,-,-,-,-,-,1,1,-,-,4
"형법범",위조범죄,소계,1349,809,540,1227,747,480,2,-,-,-,-,-,-,2,2,-,57,21,36,-,63,1277,742,535,1162,678,484,-,-,-,-,-,-,-,-,-,-,36,14,22,-,79,667,386,281,616,363,253,1,1,-,1,-,-,-,-,-,-,16,8,8,-,34,886,488,398,805,444,361,-,-,-,-,-,-,-,-,-,-,44,17,27,-,37
"형법범",위조범죄,통화,21,19,2,16,14,2,1,-,-,-,-,-,-,1,1,-,-,-,-,-,4,5,5,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",위조범죄,유가증권·인지·우표,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"형법범",위조범죄,문서,1309,773,536,1198,720,478,1,-,-,-,-,-,-,1,1,-,55,21,34,-,55,1250,717,533,1140,658,482,-,-,-,-,-,-,-,-,-,-,36,14,22,-,74,639,360,279,590,339,251,1,1,-,1,-,-,-,-,-,-,16,8,8,-,32,842,444,398,763,402,361,-,-,-,-,-,-,-,-,-,-,44,17,27,-,35
