"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"형법범",강력범죄(폭력),체포와감금,116,63,2,16,7,21,10,6,1,53,6,13,7,14,6,6,1,133,74,6,9,15,17,13,13,1,59,10,9,6,14,10,7,3,96,41,3,6,7,14,9,2,-,55,2,16,7,13,12,4,1,135,58,8,10,10,15,10,5,0,77,8,7,12,30,12,7,1
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),198,107,23,30,21,22,6,4,1,91,10,23,11,32,9,5,1,215,123,16,24,29,33,12,8,1,92,14,18,27,14,10,6,3,331,178,31,30,35,41,24,12,5,153,19,22,28,49,22,8,5,286,146,30,35,21,32,19,7,2,140,29,22,15,49,14,10,1
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동),26,12,2,-,3,5,-,2,-,14,3,3,-,6,1,-,1,18,8,2,-,-,4,1,1,-,10,3,-,-,2,2,3,-,9,6,-,2,-,1,1,2,-,3,2,-,1,-,-,-,-,27,19,1,2,6,5,4,1,0,8,0,3,0,2,3,0,0
"형법범",위조범죄,소계,459,199,18,27,25,61,39,21,8,260,17,35,37,79,56,25,11,498,241,30,44,30,79,34,21,3,257,17,40,35,91,36,22,16,306,125,11,13,18,44,26,9,4,181,21,25,28,47,27,22,11,366,143,20,18,19,54,17,14,1,223,23,31,16,90,36,17,10
"형법범",위조범죄,통화,12,8,1,1,1,3,1,1,-,4,-,1,-,-,3,-,-,3,1,-,1,-,-,-,-,-,2,-,-,1,-,1,-,-,2,1,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",위조범죄,유가증권·인지·우표,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",위조범죄,문서,437,189,16,25,24,58,38,20,8,248,17,34,36,78,51,23,9,484,235,29,42,28,78,34,21,3,249,16,38,33,90,35,21,16,292,119,9,12,18,42,25,9,4,173,21,24,27,45,26,21,9,341,134,19,17,18,51,15,13,1,207,20,25,15,87,35,15,10
"형법범",위조범죄,인장,8,2,1,1,-,-,-,-,-,6,-,-,1,1,2,-,2,11,5,1,1,2,1,-,-,-,6,1,2,1,1,-,1,-,12,5,2,1,-,1,1,-,-,7,-,1,1,2,1,-,2,25,9,1,1,1,3,2,1,0,16,3,6,1,3,1,2,0
"형법범",공무원범죄,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
